user_name	media_viewers	pico_viewers	desvio_viewers	frequencia	crescimento_medio	volatilidade	tempo_horas	language	game_id
0800cats	3175.5625	3345	115.02461693046416	16	22.466666666666665	111.29938176356768	4.0	es	1535635666.0
0_eto_panica	235.75	241	4.112987559751024	4	-1.3333333333333333	9.073771725877465	1.0	ru	32982.0
0akling	302.85714285714283	346	25.39309992516715	7	6.666666666666667	26.402020124730353	1.75	en	982017546.0
0f9v	208.72727272727272	213	5.873117272241931	22	1.2857142857142858	5.640415384906126	5.5	en	32982.0
0uahleouff	1701.5087719298247	4026	864.5902027386611	57	-1.2142857142857142	473.4564092169113	14.25	fr	491168.0
12gram	243.0	256	18.35755975068582	3	17.0	16.97056274847714	0.75	ru	27103.0
16Karino4ka	432.55555555555554	451	17.55784092016379	9	2.75	26.271929615357255	2.25	ru	32982.0
17baby17lol	924.84	1197	169.89793014238478	25	2.9583333333333335	186.3688440016001	6.25	zh	509658.0
1800johan	225.0	237	10.44030650891055	3	-8.5	14.849242404917497	0.75	en	516575.0
1Poxe	200.95454545454547	220	10.719262913213646	22	1.5238095238095237	5.4462743928216435	5.5	en	32982.0
1_tysav	159.75	163	2.753785273643047	4	1.0	4.358898943540674	1.0	en	32982.0
1breakfest1	409.125	555	88.27749807661444	16	16.266666666666666	48.78299859972685	4.0	en	518203.0
1eolevrai	375.1666666666667	709	173.2921425416244	6	-94.4	124.31532487991977	1.5	fr	23020.0
1h1perZ	495.25	541	54.32234040122596	4	-25.333333333333332	77.02164198024691	1.0	pt	516575.0
1indio	246.4920634920635	339	45.418084012326474	63	-1.1290322580645162	25.314729640133255	15.75	pt	19619.0
1jdab1	231.33333333333334	255	19.40790217067952	6	1.4	29.211299183706295	1.5	en	509658.0
1kenzooooo	170.33333333333334	172	0.8876253645985988	12	0.09090909090909091	1.300349603340998	3.0	en	32982.0
1lizardx	631.0909090909091	975	261.1055168109071	11	-36.9	298.08963976182287	2.75	en	7802.0
1microwavemax	214.5625	219	2.435457167125548	32	0.12903225806451613	2.617147753870881	8.0	en	509658.0
1possessed	371.4848484848485	644	70.56031161890921	33	3.4375	93.52692815613364	8.25	ru	29595.0
1uke337	440.42857142857144	481	28.447947452948416	7	-1.0	55.939252765835185	1.75	ru	32982.0
1zerona	226.11111111111111	403	84.79747113629693	9	-28.875	37.15387885922161	2.25	en	516575.0
20asker01	466.4	474	4.277849927241495	5	2.5	4.358898943540673	1.25	ru	32399.0
2164896374g	1536.0	2616	810.313519571283	8	102.14285714285714	1143.941640203064	2.0	en	512710.0
21mustard	333.0	415	46.985104022445235	6	-5.8	60.01416499460773	1.5	en	27471.0
23DOTATV	506.6933333333333	847	153.43076379683205	75	1.8108108108108107	144.35578912578498	18.75	vi	29595.0
23FPSTV	920.2033898305085	2501	667.0281175808733	59	34.775862068965516	329.1952464485651	14.75	vi	32399.0
247Jynxzi	1003.6543209876543	6601	1010.0425630565267	243	-25.21900826446281	473.2358696790424	60.75	en	499973.0
2BISHOP	428.0	518	83.22559702399256	5	-55.75	45.65358693465389	1.25	ru	12839.0
2Bough	449.0	502	56.824290580701486	3	-33.5	112.42997820866105	0.75	de	509658.0
2Rage4K	428.15384615384613	1748	388.2064082219861	26	-63.52	132.66754187316002	6.5	en	65632.0
2TwistedTV	834.4025974025974	1440	314.75948460858075	77	10.039473684210526	167.76145292563277	19.25	de	491931.0
2aaaaaaa2	325.0	357	28.583211855912904	3	27.5	19.091883092036785	0.75	th	32982.0
2old4stream	272.4375	327	36.704166430166126	16	6.533333333333333	19.36442491738271	4.0	fr	490377.0
2s_Company	462.1111111111111	665	108.25022453145814	9	-41.0	35.31086437425658	2.25	en	518762.0
2xBrando	286.6666666666667	368	72.95432360959379	3	-70.5	45.96194077712559	0.75	en	33214.0
2xRaKai	21415.453608247422	153379	19445.230320816365	97	3.0520833333333335	19452.88836968882	24.25	en	509658.0
357broadway	659.1363636363636	747	82.56402474333589	44	-8.930232558139535	88.94069595839508	11.0	en	509658.0
360Chrism	516.6071428571429	622	83.91103723177405	28	3.4444444444444446	58.62352726267798	7.0	en	8075.0
39daph	2133.035714285714	4132	897.7893651385295	56	64.03636363636363	728.5398630044425	14.0	en	21101.0
3MGLIVE	243.66666666666666	401	44.19080570929826	84	0.3373493975903614	33.991490006891844	21.0	en	1991115310.0
3XA_LOL	250.875	335	60.60239269203816	16	10.066666666666666	33.236096269539466	4.0	fr	21779.0
3llebelle	341.6363636363636	384	36.489101735374994	11	2.0	25.89723279940671	2.75	en	1116590313.0
40taoGames	229.0	295	44.36965930302674	4	-0.6666666666666666	91.12811494447438	1.0	pt	11065.0
44pakii	322.5	397	44.474279515935244	14	-6.076923076923077	48.01815895828983	3.5	it	32982.0
456david_ru	885.5	926	50.28916384272063	4	38.0	46.604720790924176	1.0	ru	828723661.0
4GAARD	1841.0	3749	931.5403015078485	16	-1.5333333333333334	577.2572918139543	4.0	en	1669431183.0
4LaNlol	230.8	244	11.819475453673912	5	-7.75	4.9916597106239795	1.25	pt	21779.0
4Suvy	313.8863636363636	484	59.960147970204986	44	-0.9069767441860465	27.72811359431879	11.0	en	32982.0
4amLaundry	333.97058823529414	451	44.262773883791134	68	1.8059701492537314	38.88648546341088	17.0	en	509672.0
4dr4dr	490.9166666666667	656	105.05736528202105	36	0.7428571428571429	104.1312358791265	9.0	pt	29595.0
4fungamingg	403.92857142857144	468	35.08817313825121	28	-1.8518518518518519	26.283518824985396	7.0	es	31339.0
4kDEO	239.84	423	77.83994261731355	25	0.4583333333333333	64.19195342142169	6.25	en	464339927.0
4rufq	523.4561403508771	2056	370.1967460725045	114	-0.23008849557522124	155.44596034184758	28.5	ja	511224.0
4時17分	207.54545454545453	310	48.66770443061245	22	-1.0	30.25557799811466	5.5	ja	516575.0
5Misha	287.57142857142856	319	20.452034477912324	7	-0.8333333333333334	25.88757745843876	1.75	ru	29595.0
5ive	188.2	253	25.147145908997725	20	-1.263157894736842	27.14537428419877	5.0	en	509658.0
5kMar	231.4	237	3.5071355833500344	5	1.0	5.715476066494082	1.25	en	2112738408.0
5opka	4204.285714285715	4736	435.29212960406045	7	-144.83333333333334	653.8025440962024	1.75	ru	509658.0
664days	207.33333333333334	232	32.129944496269104	3	-30.5	24.748737341529164	0.75	ru	32982.0
666dope	1917.8	1973	78.5060507222214	5	15.0	114.0	1.25	en	498566.0
66Samus	318.27272727272725	400	44.71261770259243	11	1.3	49.935625225550815	2.75	en	26936.0
6Cyx	508.5857142857143	1263	173.28597338338892	140	0.4316546762589928	109.58313966102102	35.0	en	515025.0
6ara6asha	572.6666666666666	680	141.73684536257088	3	-107.0	227.6883835420683	0.75	ru	509658.0
6elle	345.40909090909093	446	50.39998024461923	22	3.0952380952380953	63.08161757747241	5.5	en	505015.0
6kirpich7	268.8888888888889	289	7.331550585444277	18	-0.5294117647058824	8.25467781820423	4.5	ru	32982.0
6kodak9	1588.2432432432433	2833	493.8270280509499	37	5.472222222222222	394.8803425350963	9.25	ru	509672.0
6pek	444.8181818181818	599	106.01196534607212	22	12.428571428571429	88.50456001165782	5.5	en	21779.0
6u3HecByMaaH	255.0	279	22.3308456325923	4	17.333333333333332	4.163331998932265	1.0	ru	32399.0
787prada	684.6203703703703	3464	416.3943520313404	108	1.3831775700934579	361.4631859659787	27.0	en	1702520304.0
7ANGELINKA	1078.9	1633	296.1496598894412	20	-40.73684210526316	146.46533230512762	5.0	ru	32982.0
7dinka	202.5	204	1.829249530860636	14	0.3076923076923077	1.9315199276138029	3.5	en	18707.0
7mz_lucasart	1031.8333333333333	1133	119.08050498157398	6	40.4	155.29101712591105	1.5	pt	509658.0
7rayD	269.54545454545456	322	38.69438824711125	33	1.53125	34.46268142919704	8.25	en	1597660489.0
7tor	379.5	515	77.79827394339432	8	-26.857142857142858	48.93679110658486	2.0	ru	6521.0
7tyyan	418.2	430	13.026895255585652	5	3.5	24.310491562286437	1.25	de	32399.0
80sDanceParty	221.85714285714286	253	19.40205041843672	14	-0.5384615384615384	15.042248195307469	3.5	en	1669431183.0
916Gon	712.7586206896551	1483	326.5136898434313	29	36.92857142857143	195.23545681531212	7.25	pt	33214.0
95_kayfarik	202.6	204	1.9493588689617916	5	-1.0	3.1622776601683795	1.25	ru	460090.0
9970_	823.75	1398	399.1226837285331	4	-298.3333333333333	279.6468010425532	1.0	ru	29595.0
9PROXx	224.33333333333334	236	9.973297682645729	6	-1.4	10.784247771634329	1.5	ru	32982.0
