user_name	mensagens
HasanAbi	300
zackrawrr	300
jasontheween	300
Lacy	300
stableronaldo	300
2xRaKai	300
SanteaTv	0
Jinnytty	300
PlaqueBoyMax	0
ExtraEmily	9
AlveusSanctuary	300
Marlon	15
wendolynortizz	0
Jynxzi	300
Arky	300
xQc	300
Yugi2x	300
MidnightSumo	7
BruceDropEmOff	0
caseoh_	300
ironmouse	300
ohnePixel	300
robcdee	2
Cinna	300
caseoh247	13
PaymoneyWubby	300
Joe_Bartolozzi	300
Silky	43
Hitch	0
RealKatieB	300
Central_Committee	300
Ludwig	300
cyr	59
slimeIRL	0
willneff	300
CodeMiko	8
Velcuz	33
hexy	0
mooda	3
carterefe	0
HumanDilemma	2
hello_kiko	0
peller	0
Tray	199
PoliceChaseNetwork	4
RDCgaming	0
santipulgaz	300
carolinekwan	300
vanillamace	0
sakurashymko	43
Bonnie	50
Morgpie	0
Faith	15
wakewilder	121
deme	300
LowTierGod	29
YonnaJay	0
Denims	0
문뚜야	0
Maya	0
Atrioc	0
Zentreya	4
CDawg	0
itsKatchii	37
KokoNuts	300
bradygoo	300
Flight23white	300
Quin69	300
mazellovvv	0
Knut	231
SmugAlana	300
FaZeBanks	0
udbmm	0
vedal987	7
agendafreetv	48
epecn	0
swudp	0
jayunmatched	67
Emiru	300
Zoil	300
AMOURANTH	10
LaynaLazar	0
MichiMochievee	0
TenzinNiznet	300
CookSux	191
kyootbot	0
erobb221	300
mole	0
lydiaviolet	300
thetitaylor	0
Saruei	0
Grimmi	0
NoraExplorer	0
crelly	300
henyathegenius	0
asianbunnyx	0
kattpaccino	0
yusuf7n	300
qoqsik	0
juliakins	0
GloriaMatvien	0
TheMajorityReport	0
sarahbridgewater	0
Alinity	0
sunnys	300
tfyau	0
vabzp	0
MISTERARTHER	0
Sydeon	0
iitgx	0
Adapt	69
YEBshow	0
Lyasyaa	3
TheStockGuy	300
Powdur	300
forsen	300
gracehan_	0
Reginald	0
sadgirl	48
Agent00	300
dannyaarons	300
STRUGGLE_4	79
Leaflit	0
firedancer	4
Yoshimyan	10
a2guapo	300
Kirsche	0
akaNemsko	9
zmoothly	0
pokelawls	300
Deansocool	300
kelo	65
EsfandTV	122
LIRIK	300
BluKitsune9	120
Pezzzy	6
kumi	300
Aquwa	2
Vangard	0
Blueryai	0
Arrav	0
ChristinaandAmber	300
whatever	300
cerberVT	10
윤개굴이	0
therealbigwinnn	1
jakeydavies	0
Dantes	71
Abgxlina	0
npxzl	0
Limmy	12
Arielle	202
rawdogmoon	300
Trickywi	0
rayasianboy	96
jankyrondo	300
moistcr1tikal	32
Buffpup	0
elfyou	1
Madi2hottyy	0
HutchMF	40
totaamc	0
Bigpuffer	0
ytTALK2MENICE	45
MegalodonVT	0
Aryssa614	0
syanne	35
pbavx	0
Northernlion	300
kopsteep	13
obkatiekat	0
zgouo	0
ShawnCee	0
nihmune	0
YUY_IX	0
Shylily	72
ijtet	0
tbvnks	28
LucyPyre	300
BerryCrepe	96
kwekuaddo	1
Sweet_Anita	79
uwtdc	0
mira	0
mariabagatti	0
MapleTakes	0
supcaitlin	102
FemboySandwich	1
supertf	300
falco	0
xpmos	0
CarsonHocevar	0
Victoria	0
nyxie	7
waterlynn	0
gremloe	22
miqyn	0
hxmkw	0
jlgtr	0
ycycs	0
xzrun	0
nsnnr	0
axsrm	0
xvfui	0
qlmpa	0
lthif	0
mucva	0
itlmw	0
zezje	0
xywrz	0
gfppw	0
xtzzb	0
owwmt	0
ornct	0
rmqta	0
mbncp	0
dfhfq	0
jyskn	0
wsfxs	0
dovrz	0
fcbge	0
zqfao	0
tpgcz	0
jqqku	0
hdqze	0
rbhgc	0
dsphw	0
ybduh	0
sasnv	0
nqwas	0
brptp	0
vxbnk	0
ucjps	0
hvqvj	0
sczfr	0
wzdni	0
pciki	0
ttqnr	0
hxcmz	0
wwxbw	0
qkvsz	0
ztwvp	0
shamnyc	0
uxyxm	0
epkfq	0
ustjd	0
pxdwe	0
rosedoodle	0
qebfa	0
rmtaw	0
gpued	0
mrgzi	0
LasVegasVP	0
UpMinaa	0
cvyda	0
pnfen	0
gwdsm	0
Kenji	0
gxwys	0
nsbbe	0
cnfdm	0
kuhuq	0
Vienna	0
jdqqz	0
Foolish	300
salmmus	151
joyymei	0
F1NN5TER	0
fanfan	0
projektmelody	0
BigDJGhost	28
Buni	33
PorcelainMaid	8
Zumi	1
Tubbo	22
QuarterJade	4
YungeenAce	0
Gingy	300
Emilycc	300
Limealicious	0
wehoopinx	0
papamutt	238
NYKchazza	178
fuslie	14
Pokemon	0
angryginge13	300
enemycharlie	0
nyanners	296
JalensWorld_	0
FroggyLoch	0
Maximilian_DOOD	0
Kaiju_Waifu	0
CONEY	2
Mande	300
Elina	0
Plug	48
ChaChaYourVmom	62
KairyuCrocodile	300
Kaise	0
AstaBush	3
sodapoppin	2
Kaceytron	0
UWOSLAB	300
Spite	0
ClioAite	46
Th3Discourse	1
StrawberryTabby	0
nekrolina	0
Bebahan	0
Suzooiey	3
aliciaxlife	0
PSP1G	300
Valeria7K	0
emme	0
NymN	0
FRAIKI	0
KennyandChan	0
