	21779	27471	32399	509658	516575	Total
lol	20	65	42	39	20	186
happy	65	4	11	2	16	98
gg	2	1	79	1	8	91
lmao	5	52	6	7	12	82
omegalul	62	11	1	2	1	77
joshsekibooti	0	0	0	0	70	70
lo	35	13	5	11	5	69
clap	61	0	0	0	0	61
haha	10	13	17	15	2	57
ass	4	1	42	4	1	52
bro	15	12	7	4	14	52
saj	1	0	2	0	49	52
game	21	3	4	12	4	44
good	15	2	9	7	11	44
love	9	10	6	11	7	43
nyanpls	0	42	0	0	0	42
ome	0	33	0	5	0	38
play	11	7	2	4	13	37
dont	9	6	8	8	5	36
edm	6	0	30	0	0	36
time	8	2	8	9	8	35
chat	7	5	4	8	10	34
nopers	0	34	0	0	0	34
teams	0	0	0	33	0	33
ur	11	4	2	7	8	32
rt	9	2	0	2	19	32
truck	0	0	31	0	0	31
happying	30	0	0	0	0	30
wideravetime	0	0	30	0	0	30
astralis	0	0	30	0	0	30
team	7	2	5	8	8	30
soyscream	0	0	29	0	0	29
unc	1	19	1	2	5	28
aras	0	0	27	0	0	27
gonna	6	3	4	3	10	26
people	1	1	1	18	3	24
win	6	2	7	5	3	23
mexico	0	0	0	23	0	23
pisstime	0	0	23	0	0	23
son	12	0	4	5	1	22
yo	2	5	4	4	7	22
xqcmom	0	0	22	0	0	22
kekw	1	4	7	6	3	21
lmfao	2	7	1	7	4	21
holy	9	6	1	4	1	21
spun	0	0	21	0	0	21
slot	0	0	21	0	0	21
duckass	0	0	0	0	21	21
juanddlost	0	0	0	0	21	21
machine	0	0	21	0	0	21
parot	0	20	0	0	0	20
sobb	0	18	0	2	0	20
true	5	4	0	1	9	19
watch	5	4	2	5	3	19
damn	2	2	6	5	4	19
xmoonlett	0	0	19	0	0	19
om	0	1	0	2	16	19
smoke	18	0	0	0	1	19
man	3	3	5	2	5	18
eu	3	0	4	0	11	18
discord	0	0	0	17	1	18
nice	5	1	7	0	4	17
ybg	0	0	0	17	0	17
shit	3	2	1	8	3	17
mhm	2	1	3	8	3	17
vote	0	17	0	0	0	17
lule	12	4	0	1	0	17
foolishcrying	0	0	0	0	17	17
hull	0	0	17	0	0	17
yeah	3	4	2	2	6	17
tomfoolery	9	0	7	0	0	16
sunny	0	0	0	16	0	16
wtf	5	3	3	1	4	16
monkae	0	16	0	0	0	16
remouiade	0	0	16	0	0	16
icant	0	1	2	12	1	16
ratot	0	0	16	0	0	16
ww	6	1	2	4	2	15
temet	0	0	0	0	15	15
uncle	0	14	0	1	0	15
aoxner	0	0	15	0	0	15
bad	4	1	3	5	2	15
la	2	0	3	10	0	15
change	2	0	1	11	1	15
fuck	1	2	2	7	3	15
playing	4	1	4	2	4	15
stream	4	1	1	3	6	15
buh	13	0	2	0	0	15
shultzu	0	0	15	0	0	15
guys	5	2	2	4	2	15
player	7	0	2	2	3	14
pfft	5	0	0	0	9	14
lp	14	0	0	0	0	14
nom	0	14	0	0	0	14
hii	0	12	0	0	2	14
gayge	0	0	0	14	0	14
feel	2	2	0	1	8	13
sade	11	0	2	0	0	13
aga	2	6	2	1	2	13
white	0	0	0	9	4	13
bigsad	0	0	0	0	13	13
alois	13	0	0	0	0	13
output	0	0	0	13	0	13
danny	0	0	0	13	0	13
guy	1	6	1	3	1	12
life	0	1	2	1	8	12
song	2	5	1	1	3	12
agahi	0	11	1	0	0	12
akeidz_	0	0	12	0	0	12
btw	3	2	3	2	2	12
lul	0	1	5	2	4	12
wl	12	0	0	0	0	12
sob	6	0	0	6	0	12
watching	0	6	1	4	1	12
master	11	1	0	0	0	12
core	0	1	0	11	0	12
shitty	0	0	12	0	0	12
gay	0	0	0	0	12	12
sad	2	1	2	0	7	12
pepehands	10	0	0	0	1	11
omg	1	2	0	2	6	11
lolw	0	11	0	0	0	11
wait	2	0	1	1	7	11
fine	3	0	2	2	4	11
ill	6	1	2	1	1	11
shaco	11	0	0	0	0	11
zam	0	11	0	0	0	11
kill	1	3	3	3	1	11
bye	1	0	4	0	6	11
fut	0	0	0	0	10	10
caedrel	10	0	0	0	0	10
bald	10	0	0	0	0	10
cane	0	0	0	0	10	10
live	3	3	2	1	1	10
hard	3	1	0	1	5	10
elbymeltdown	0	0	0	10	0	10
free	1	0	5	3	1	10
champion	10	0	0	0	0	10
mooda	9	0	0	0	1	10
check	3	3	3	0	1	10
fun	2	0	6	1	1	10
kinda	4	2	0	3	1	10
focus	0	0	0	9	1	10
forsennugget	0	10	0	0	0	10
music	9	0	0	0	1	10
hai	0	7	2	0	1	10
cooldown	10	0	0	0	0	10
spoilers	0	10	0	0	0	10
cdr	10	0	0	0	0	10
cat	4	0	0	0	5	9
nah	4	0	0	0	5	9
games	3	0	0	1	5	9
flatro	0	0	9	0	0	9
big	2	2	2	3	0	9
babyrage	0	0	9	0	0	9
ksante	9	0	0	0	0	9
hints	0	9	0	0	0	9
crazy	3	1	1	1	3	9
rn	2	4	2	0	1	9
damage	5	3	0	0	1	9
shield	8	1	0	0	0	9
times	0	0	2	4	3	9
goat	4	1	1	0	3	9
code	0	2	6	1	0	9
house	0	9	0	0	0	9
day	5	0	0	1	3	9
sense	2	0	1	0	6	9
aware	1	0	8	0	0	9
isnt	2	1	0	3	3	9
em	0	3	4	2	0	9
era	0	1	8	0	0	9
boysmarlgm	0	0	0	8	0	8
theobawhat	0	8	0	0	0	8
days	2	0	2	1	3	8
spongs	0	8	0	0	0	8
god	0	0	1	4	3	8
hope	2	1	1	1	3	8
letsgo	1	0	0	7	0	8
tyla	0	0	0	8	0	8
yay	0	7	1	0	0	8
south	1	0	0	7	0	8
red	4	1	0	3	0	8
tho	2	1	0	3	2	8
wanna	2	1	0	1	4	8
lock	0	0	2	6	0	8
glizzy	8	0	0	0	0	8
ez	2	1	4	0	1	8
uuh	3	0	2	3	0	8
wall	6	1	1	0	0	8
fight	1	0	0	7	0	8
action	0	0	4	1	3	8
conix	0	8	0	0	0	8
roam	8	0	0	0	0	8
mid	7	0	1	0	0	8
armor	8	0	0	0	0	8
doesnt	1	2	2	1	2	8
cs	2	0	6	0	0	8
ta	1	0	7	0	0	8
og	0	0	0	8	0	8
ja	0	0	8	0	0	8
easy	0	0	2	1	5	8
ruggah	0	0	7	0	0	7
hell	4	0	0	1	2	7
stack	5	0	1	0	1	7
ad	5	0	0	1	1	7
friendmodpat	0	0	0	7	0	7
joebartdab	0	0	0	7	0	7
friendchatpat	0	0	0	7	0	7
work	1	1	5	0	0	7
froganletsgo	0	0	0	7	0	7
won	0	0	0	5	2	7
hey	0	2	0	1	4	7
ngl	3	1	1	0	2	7
crying	0	1	2	0	4	7
aura	0	0	3	0	4	7
yup	2	0	1	4	0	7
week	1	1	4	0	1	7
joe	0	0	0	7	0	7
gotta	1	3	0	2	1	7
prod	0	0	0	1	6	7
tf	2	2	1	2	0	7
lost	0	1	2	3	1	7
juanflatroo	0	0	7	0	0	7
rip	0	2	1	1	3	7
pain	1	0	6	0	0	7
ratir	7	0	0	0	0	7
africa	0	0	0	7	0	7
tu	1	0	6	0	0	7
meow	7	0	0	0	0	7
money	1	3	2	1	0	7
ge	0	0	0	0	7	7
didnt	0	2	3	0	2	7
hit	2	0	3	0	2	7
cinema	0	1	2	3	1	7
cooked	4	0	1	2	0	7
yea	1	0	3	1	2	7
bruh	2	2	1	0	2	7
paske	0	0	7	0	0	7
mijo	5	0	0	2	0	7
banger	0	7	0	0	0	7
hp	7	0	0	0	0	7
dude	0	1	1	4	1	7
soulcas	0	0	0	0	7	7
follow	1	1	1	0	4	7
viva	0	0	0	7	0	7
bb	0	6	1	0	0	7
sayo	0	0	0	0	7	7
long	0	1	3	1	2	7
cats	0	0	0	0	7	7
wow	3	0	1	0	2	6
