	agurin	alois_nl	azzapp	caedrel	drututt	keshaeuw	lol_nemesis	mooda	nickich	thebausffs	ashswag	boosfer	conix	feinberg	flowtives	forsen	maxggs	princezam	theobaldthebird	xaryu	arrowcs	augcs2	eslcs	fl0m	juanflatroo	mathg	ohnepixel	psp1g	smooyacs	xqc	angryginge13	arky	dannyaarons	hasanabi	itskatchii	jasontheween	joe_bartolozzi	lacy	vedal987	zackrawrr	florescent	foolish	gofns	joshseki	s0mcs	shanks_ttv	sliggytv	subroza	temet	valkyrae	Total
lol	2	0	0	0	0	9	0	7	2	0	17	3	1	5	1	0	14	0	6	18	10	4	14	8	0	0	3	0	3	0	4	0	0	1	3	21	6	4	0	0	1	0	2	2	1	1	0	2	3	8	186
happy	5	1	2	0	2	1	20	0	0	34	0	0	0	0	0	0	0	0	1	3	2	0	2	2	0	0	0	1	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	7	3	4	0	98
gg	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	6	4	0	0	64	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	1	0	0	0	0	91
lmao	0	0	1	0	0	4	0	0	0	0	31	0	0	3	0	0	7	0	3	8	0	2	1	3	0	0	0	0	0	0	0	0	0	2	0	1	4	0	0	0	0	0	0	2	0	1	2	1	4	2	82
omegalul	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	7	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	77
joshsekibooti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	70
lo	0	0	0	1	0	27	1	1	4	1	0	0	0	0	0	0	0	0	0	13	4	0	0	0	0	0	0	1	0	0	0	0	0	0	5	4	0	2	0	0	0	0	0	0	1	1	0	0	0	3	69
clap	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61
haha	3	0	1	0	0	5	0	0	1	0	1	0	0	0	0	1	5	0	0	6	0	1	1	0	14	1	0	0	0	0	8	0	0	1	1	1	4	0	0	0	0	0	0	1	0	0	0	1	0	0	57
ass	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	40	0	2	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	52
bro	2	2	0	1	1	0	0	6	3	0	3	0	0	0	3	0	0	0	6	0	1	2	1	1	1	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	3	1	1	0	2	1	0	3	3	0	52
saj	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	52
game	1	3	2	0	7	0	2	0	3	3	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	1	3	4	0	1	0	0	3	0	0	0	0	0	0	2	0	0	2	0	44
