user_name	game_id	quantidade_viewers
zackrawrr	509658	31368
hasanabi	509658	24992
joe_bartolozzi	509658	15768
angryginge13	509658	15135
arky	509658	13108
dannyaarons	509658	6079
vedal987	509658	5692
itskatchii	509658	4689
thebausffs	21779	9661
drututt	21779	5844
alois_nl	21779	4413
azzapp	21779	917
keshaeuw	21779	906
agurin	21779	820
nickich	21779	582
mooda	21779	2353
arrowcs	32399	1469
juanflatroo	32399	1224
smooyacs	32399	891
mathg	32399	232
augcs2	32399	129
ohnepixel	32399	31450
fl0m	32399	1693
eslcs	32399	377
gofns	516575	13699
shanks_ttv	516575	2310
sliggytv	516575	2682
joshseki	516575	1224
subroza	516575	2470
foolish	516575	2878
valkyrae	516575	4067
s0mcs	516575	5865
forsen	27471	8122
ashswag	27471	2230
princezam	27471	404
maxggs	27471	660
conix	27471	255
theobaldthebird	27471	353
boosfer	27471	383
xaryu	27471	4003
jasontheween	509658	11398
lacy	509658	16054
caedrel	21779	45875
lol_nemesis	21779	2592
xqc	32399	25030
psp1g	32399	1553
feinberg	27471	2512
flowtives	27471	2250
florescent	516575	1191
