user_name	game_id	media_viewers	frequencia	relevancia
tarik	516575	8039.41	140	22510348
GOFNS	516575	13699.72	60	16439664
s0mcs	516575	5865.78	106	12435454
VALORANT_Americas	516575	8970.73	64	11482534
mooda	516575	11866.06	36	8543563
shanks_ttv	516575	2310.18	112	5174803
jasontheween	516575	20173.08	12	4841539
Subroza	516575	2470.12	92	4545021
eggsterr	516575	1119.35	178	3984886
Sliggytv	516575	2682.03	62	3325717
VALORANT_EMEA	516575	1675.88	97	3251207
QuarterJade	516575	2992.16	45	2692944
Masayoshi	516575	2132.83	59	2516739
EWC_Plus_EN	516575	2185.29	55	2403819
Grimm	516575	918.63	130	2388438
LFToxy_val	516575	1770.15	65	2301195
Majski227	516575	736.44	153	2253506
Foolish	516575	2896.3	37	2143262
sinatraa	516575	1551.83	66	2048416
joshseki	516575	1224.77	82	2008623
VALORANT_NorthAmerica	516575	1295.8	75	1943700
florescent	516575	1401.61	66	1850125
TenZ	516575	5072.94	18	1826258
Demon1	516575	1936.17	42	1626383
Zikzlol	516575	737.71	110	1622962
Lacy	516575	12529.2	5	1252920
VALORANT_Pacific	516575	1020.9	60	1225080
Hamy	516575	428.4	124	1062432
inspire	516575	476.01	102	971060
jingggxd	516575	2235.14	21	938759
Sentinels	516575	2671.12	17	908181
Hiko	516575	743.11	61	906594
spicyuuu	516575	714.87	63	900736
meilizzz	516575	620.5	72	893520
cloudeyX3	516575	460.41	92	847154
Keeoh	516575	373.21	113	843455
Yugi2x	516575	3417.92	12	820301
Livvcote	516575	416.05	93	773853
itsRyanHiga	516575	697.55	55	767305
arii	516575	649.25	55	714175
ShahZaM	516575	534.64	64	684339
Dasnerth	516575	578.84	57	659878
haeyoday	516575	555.92	59	655986
PRXf0rsakeN	516575	1507.86	21	633301
ardiis	516575	925.44	32	592282
Noiaaa	516575	700.07	42	588059
TheGeekEntry	516575	563.8	51	575076
meLanji	516575	409.07	69	564517
katiewon	516575	829.21	33	547279
hiroaims	516575	500.2	54	540216
Valkyrae	516575	4322.0	6	518640
Yinsu	516575	546.76	45	492084
ThinkingMansValo	516575	457.4	53	484844
sakurashymko	516575	2958.38	8	473341
POPPIN	516575	345.86	63	435784
erobb221	516575	4019.4	5	401940
benjyfishy	516575	2418.5	8	386960
SubrozaVOD	516575	540.26	35	378182
coachmini	516575	407.51	45	366759
starsmitten	516575	455.29	38	346020
Silky	516575	2770.0	6	332400
WARDELL	516575	372.02	44	327378
PROD	516575	590.7	27	318978
Arky	516575	2304.83	6	276580
Shoshy	516575	369.27	37	273260
Jerrwin_	516575	276.26	47	259684
derrekow	516575	301.66	41	247361
seraph_venus	516575	215.1	51	219402
vaperipper15	516575	226.16	44	199021
johnqtcs	516575	538.39	18	193820
temet	516575	352.0	27	190080
sapnaplive	516575	222.22	41	182220
Minny	516575	744.42	12	178661
