user_name	game_id	media_viewers	frequencia	relevancia
tarik	516575	8039.41	140	22510348
GOFNS	516575	13699.72	60	16439664
s0mcs	516575	5865.78	106	12435454
shanks_ttv	516575	2310.18	112	5174803
jasontheween	516575	20173.08	12	4841539
Sliggytv	516575	2682.03	62	3325717
Foolish	516575	2896.3	37	2143262
joshseki	516575	1224.77	82	2008623
Lacy	516575	12529.2	5	1252920
Yugi2x	516575	3417.92	12	820301
Valkyrae	516575	4322.0	6	518640
erobb221	516575	4019.4	5	401940
Arky	516575	2304.83	6	276580
MARI	516575	596.67	12	143201
a2guapo	516575	892.88	8	142861
hivise	516575	1809.33	3	108560
sunnys	516575	1677.67	3	100660
santipulgaz	516575	1043.5	4	83480
rawdogmoon	516575	994.0	2	39760
supertf	515025	6396.9	83	10618854
Emilycc	515025	342.31	54	369695
2xRaKai	509672	16704.43	14	4677240
angryginge13	509672	7585.7	23	3489422
Agent00	509672	7287.9	20	2915160
OniGiri	509672	1996.06	33	1317400
hailyXalyse	509672	485.85	118	1146606
dannyaarons	509672	3288.15	13	854919
Benjamin_Bucks	509672	238.0	1	4760
HasanAbi	509658	32253.68	168	108372365
zackrawrr	509658	33893.62	107	72532347
stableronaldo	509658	24480.34	85	41616578
Jinnytty	509658	5534.58	253	28004975
AlveusSanctuary	509658	3676.99	324	23826895
Jynxzi	509658	44002.5	20	17601000
xQc	509658	18788.68	44	16534038
caseoh_	509658	33737.24	17	11470662
ironmouse	509658	6269.64	86	10783781
ohnePixel	509658	25989.75	16	8316720
Cinna	509658	6203.7	63	7816662
PaymoneyWubby	509658	9432.53	36	6791422
Joe_Bartolozzi	509658	10733.17	29	6225239
RealKatieB	509658	9572.75	28	5360740
Central_Committee	509658	3609.65	68	4909124
Ludwig	509658	7709.8	30	4625880
willneff	509658	3848.98	57	4387837
carolinekwan	509658	2205.87	79	3485275
deme	509658	3442.17	46	3166796
KokoNuts	509658	2477.43	56	2774722
bradygoo	509658	1311.81	103	2702329
Flight23white	509658	5626.83	24	2700878
Quin69	509658	5388.72	25	2694360
SmugAlana	509658	2145.34	61	2617315
Emiru	509658	10039.42	12	2409461
Zoil	509658	1471.41	80	2354256
TenzinNiznet	509658	662.8	171	2266776
lydiaviolet	509658	4627.17	23	2128498
crelly	509658	3803.81	27	2054057
yusuf7n	509658	1202.09	82	1971428
TheStockGuy	509658	2200.59	37	1628437
Powdur	509658	1391.07	58	1613641
forsen	509658	3962.7	20	1585080
pokelawls	509658	1691.74	39	1319557
Deansocool	509658	1711.34	38	1300618
LIRIK	509658	7075.67	9	1273621
kumi	509658	2863.91	22	1260120
ChristinaandAmber	509658	1343.76	46	1236259
whatever	509658	1536.62	40	1229296
jankyrondo	509658	579.13	97	1123512
Northernlion	509658	10313.0	5	1031300
LucyPyre	509658	1741.67	27	940502
Gingy	509658	2790.92	13	725639
Mande	509658	1231.54	26	640401
KairyuCrocodile	509658	1512.43	21	635221
UWOSLAB	509658	768.4	40	614720
PSP1G	509658	1289.17	23	593018
Peter	509658	1372.84	19	521679
Clix	509658	4697.2	5	469720
ONLY1HOF	509658	515.58	45	464022
DeadBlossomJesse	509658	890.62	21	374060
Lobanjicaa	509658	1691.38	8	270621
ARUUU	509658	465.68	28	260781
BarbarousKing	509658	2062.33	6	247480
KyleBosman	509658	574.44	18	206798
Jabroni_Mike	509658	1431.43	7	200400
RanbooLive	509658	553.88	17	188319
cam2r	509658	1244.43	7	174220
GamesCage	509658	428.65	20	171460
jaystayup	509658	522.31	16	167139
Preachlfw	509658	1234.0	6	148080
fl0m	509658	1217.17	6	146060
dima_wallhacks	509658	1590.5	4	127240
BasilWoof	509658	1032.17	6	123860
Boosfer	509658	480.25	12	115260
wackawackamun	509658	314.1	10	62820
jennmcallister	509658	2930.0	1	58600
Lumasva	509658	495.2	5	49520
valerysnv7	509658	188.75	12	45300
Blinkx_	509658	528.0	2	21120
Boggles	509658	174.0	3	10440
saisette_rnmsn	509658	159.0	1	3180
Kaysan	32982	6108.43	94	11483848
Zoomaa	32982	3083.81	58	3577220
TheBurntPeanut	32399	27346.31	35	19142417
summit1g	32399	10968.14	28	6142158
loltyler1	32399	6840.74	31	4241259
ESLCS	32399	377.17	382	2881579
renyan	32399	1038.25	52	1079780
ashswag	27471	2230.59	17	758401
conix	27471	255.36	14	71501
TheobaldTheBird	27471	353.9	10	70780
Caedrel	21779	45875.62	149	136709348
Thebausffs	21779	10259.55	71	14568561
Jankos	21779	1982.04	160	6342528
lol_nemesis	21779	2592.26	121	6273269
Drututt	21779	3122.16	90	5619888
Spear_Shot	21779	1109.38	244	5413774
Alois_NL	21779	3985.36	44	3507117
Tenshi	21779	2190.3	50	2190300
