user_name	media_viewers	frequencia	relevancia	game_id	genero
HasanAbi	32253.68	168	108372365	509658	homem
zackrawrr	33893.62	107	72532347	509658	homem
stableronaldo	24480.34	85	41616578	509658	homem
Jinnytty	5534.58	253	28004975	509658	mulher
AlveusSanctuary	3676.99	324	23826895	509658	marca
Jynxzi	44002.5	20	17601000	509658	homem
xQc	18788.68	44	16534038	509658	homem
caseoh_	33737.24	17	11470662	509658	homem
ironmouse	6269.64	86	10783781	509658	mulher
ohnePixel	25989.75	16	8316720	509658	homem
Cinna	6203.7	63	7816662	509658	mulher
PaymoneyWubby	9432.53	36	6791422	509658	homem
Joe_Bartolozzi	10733.17	29	6225239	509658	homem
RealKatieB	9572.75	28	5360740	509658	mulher
Central_Committee	3609.65	68	4909124	509658	homem
carolinekwan	2205.87	79	3485275	509658	mulher
deme	3442.17	46	3166796	509658	mulher
KokoNuts	2477.43	56	2774722	509658	mulher
SmugAlana	2145.34	61	2617315	509658	mulher
Emiru	10039.42	12	2409461	509658	mulher
lydiaviolet	4627.17	23	2128498	509658	mulher
Caedrel	45875.62	149	136709348	21779	homem
Thebausffs	10259.55	71	14568561	21779	homem
Jankos	1982.04	160	6342528	21779	homem
lol_nemesis	2592.26	121	6273269	21779	homem
Drututt	3122.16	90	5619888	21779	homem
Spear_Shot	1109.38	244	5413774	21779	homem
Alois_NL	3985.36	44	3507117	21779	homem
Tenshi	2190.3	50	2190300	21779	mulher
TheBurntPeanut	27346.31	35	19142417	32399	homem
summit1g	10968.14	28	6142158	32399	homem
loltyler1	6840.74	31	4241259	32399	homem
ESLCS	377.17	382	2881579	32399	marca
renyan	1038.25	52	1079780	32399	homem
Kaysan	6108.43	94	11483848	32982	homem
Zoomaa	3083.81	58	3577220	32982	homem
tarik	8039.41	140	22510348	516575	homem
GOFNS	13699.72	60	16439664	516575	homem
s0mcs	5865.78	106	12435454	516575	homem
shanks_ttv	2310.18	112	5174803	516575	homem
jasontheween	20173.08	12	4841539	516575	homem
Sliggytv	2682.03	62	3325717	516575	homem
Foolish	2896.3	37	2143262	516575	homem
joshseki	1224.77	82	2008623	516575	homem
Lacy	12529.2	5	1252920	516575	homem
Yugi2x	3417.92	12	820301	516575	homem
Valkyrae	4322.0	6	518640	516575	mulher
MARI	596.67	12	143201	516575	mulher
sunnys	1677.67	3	100660	516575	mulher
2xRaKai	16704.43	14	4677240	509672	homem
angryginge13	7585.7	23	3489422	509672	homem
Agent00	7287.9	20	2915160	509672	homem
OniGiri	1996.06	33	1317400	509672	mulher
hailyXalyse	485.85	118	1146606	509672	mulher
dannyaarons	3288.15	13	854919	509672	homem
Benjamin_Bucks	238.0	1	4760	509672	homem
supertf	6396.9	83	10618854	515025	homem
Emilycc	342.31	54	369695	515025	mulher
ashswag	2230.59	17	758401	27471	homem
conix	255.36	14	71501	27471	homem
TheobaldTheBird	353.9	10	70780	27471	homem
